Language	Beta	EE	Memories	UpperBound	FutureSurp	avg16	avg17	avg18	avg19	 dropout1	emb_dim	rnn_dim	rnn_layers	lr	model	dropout2	batchSize	horizon	beta	flow_layers	flow_type	Iterations	flow_hid_dim	in_flow_layers
English	0.254092965836	0.480273094594	1.41795343415	6.46196254446	1.87044940428	2.16957676336	2.05650863156	1.99925029872	1.96405266003	0.0	300	64	1	0.001	REAL	0.0	64	30	0.254092965836	4	dsf	12	512	2
English	0.378671373067	0.1236441822	0.610420747121	6.46166507841	1.88851917919	2.44217522836	2.21165124549	2.10705291977	2.04623871576	0.0	200	256	1	0.002	REAL	0.0	64	30	0.378671373067	8	ddsf	7	512	2
English	0.0412625646723	0.896418728938	5.12936640549	12.0196418025	1.84059444191	1.90401779446	1.88625805999	1.87419363889	1.86572070203	0.0	200	64	1	0.001	REAL	0.0	64	30	0.0412625646723	1	ddsf	18	512	2
English	0.386324793442	0.139111945661	0.504137126287	6.46013346363	1.8873740781	2.4177077022	2.20045184445	2.09985177343	2.04053292841	0.0	200	128	1	0.004	REAL	0.0	64	30	0.386324793442	10	dsf	11	512	2
English	0.02	0.982448995029	10.0692273254	15.695206296	1.83412466206	1.88584178794	1.87165993022	1.86135120267	1.85426005164	0.0	300	512	1	0.001	REAL	0.0	64	30	0.02	1	ddsf	4	512	2
English	0.0566461461249	0.867929249739	4.58824493027	12.0169095209	1.84055022835	1.93982603426	1.90969494379	1.8906862792	1.8781446395	0.2	200	256	1	0.001	REAL	0.2	32	30	0.0566461461249	4	dsf	15	512	2
English	0.07	0.860044105724	4.47285733795	12.00989414	1.83797662772	1.94065500696	1.90954302075	1.89071729036	1.87773716099	0.2	100	256	1	0.002	REAL	0.0	16	30	0.07	3	dsf	14	512	2
English	0.31	0.136682593266	0.604532956441	6.46237025004	1.88942710116	2.4303993548	2.20713516093	2.10455018294	2.04448930376	0.0	200	128	1	0.002	REAL	0.0	16	30	0.31	2	dsf	16	512	2
English	0.04	0.910853176805	6.2385278333	12.0158128142	1.83737426963	1.90893557117	1.89094291182	1.87597338523	1.86619104107	0.0	200	256	1	0.001	REAL	0.0	32	30	0.04	6	ddsf	8	512	2
English	0.0594698523788	0.798830412537	4.0820499506	10.1913577462	1.85467981693	1.96302525078	1.9278576277	1.9061354127	1.89269474694	0.0	200	128	1	0.002	REAL	0.2	16	30	0.0594698523788	6	ddsf	14	512	2
English	0.0425657117553	0.91262867596	4.77941037814	12.0280163645	1.84294763622	1.91180907886	1.89218208688	1.87898335176	1.86978376629	0.0	300	64	1	0.0001	REAL	0.1	64	30	0.0425657117553	10	dsf	16	512	2
English	0.159425363407	0.629400242835	2.6011022536	8.32264916411	1.85457899627	2.05389920388	1.9845222314	1.94661013084	1.92232428735	0.0	50	256	1	0.001	REAL	0.1	32	30	0.159425363407	4	dsf	16	512	2
English	0.0875919072681	0.831882580643	4.91073810705	10.1805115702	1.8436228544	1.95311430938	1.91944094522	1.89833677725	1.88426817724	0.1	50	512	1	0.001	REAL	0.0	16	30	0.0875919072681	7	dsf	14	512	2
English	0.283578753841	0.248911439339	0.778078580856	6.46607338072	1.88540826203	2.38022889136	2.17963430679	2.08520708401	2.02967702626	0.1	200	256	1	0.001	REAL	0.2	32	30	0.283578753841	1	ddsf	13	512	2
English	0.03	0.980745980779	7.15465539932	13.8438128065	1.83086002778	1.88775331261	1.87302193531	1.86140927254	1.8536519123	0.0	300	256	1	0.0005	REAL	0.1	64	30	0.03	1	ddsf	9	512	2
English	0.31	0.233779211707	0.77806655248	6.46109134507	1.88118872945	2.40664622625	2.19309866259	2.09360999937	2.0350303771	0.2	200	512	1	0.0005	REAL	0.1	64	30	0.31	6	dsf	7	512	2
English	0.07	0.801719115886	4.31249694188	10.1949900844	1.85265637684	1.97733735603	1.93666959635	1.91183824281	1.89603738343	0.0	50	512	1	0.001	REAL	0.2	64	30	0.07	2	ddsf	9	512	2
English	0.160455137069	0.721006607073	2.57817359066	8.32371505993	1.84792596853	2.01437074755	1.95991144327	1.92837468463	1.90764164096	0.0	300	128	1	0.001	REAL	0.0	64	30	0.160455137069	10	dsf	11	512	2
English	0.155736627425	0.722046116968	2.64093764464	8.32648789531	1.84970351019	2.01196881125	1.95862256835	1.92791701258	1.90769590131	0.0	300	128	1	0.002	REAL	0.0	64	30	0.155736627425	8	dsf	10	512	2
English	0.0269227890501	0.957880257075	6.3330822862	13.8783224356	1.84137027793	1.90326579244	1.88541180082	1.87389188467	1.86593999994	0.0	100	128	1	0.0005	REAL	0.2	64	30	0.0269227890501	1	dsf	13	512	2
English	0.351830458852	0.0766581577212	0.439307800293	6.46220322297	1.8963160268	2.487359734	2.24038235662	2.12817973615	2.06288453482	0.0	300	512	1	0.001	REAL	0.0	64	30	0.351830458852	15	ddsf	5	512	2
English	0.00693583565267	1.0099018415	11.5728764474	19.3922293666	1.83761350186	1.87461172926	1.8650011538	1.85771458538	1.85270984056	0.0	100	128	1	0.002	REAL	0.1	16	30	0.00693583565267	1	ddsf	15	512	2
English	0.073905611609	0.796239967306	3.43781194178	10.202740871	1.8589067565	1.96872085541	1.93315604396	1.91145930252	1.89756122108	0.0	50	64	1	0.0005	REAL	0.2	32	30	0.073905611609	4	dsf	30	512	2
English	0.226506143056	0.479606185623	1.76653442574	6.4644283906	1.86936286795	2.20174261847	2.0728087693	2.01016820414	1.97216986433	0.2	100	256	1	0.0005	REAL	0.0	16	30	0.226506143056	4	ddsf	10	512	2
English	0.308305661307	0.297927370091	0.941428208033	6.46386055454	1.88402200742	2.31506023213	2.14274622974	2.06056400609	2.01166275381	0.0	50	128	1	0.0005	REAL	0.0	16	30	0.308305661307	4	dsf	16	512	2
English	0.06	0.86385556969	4.93526979192	10.1804762673	1.84297343734	1.92297405208	1.90013370143	1.8851591114	1.8749375867	0.0	50	256	1	0.001	REAL	0.0	64	30	0.06	1	dsf	9	512	2
