Language	Beta	EE	Memories	UpperBound	FutureSurp	avg16	avg17	avg18	avg19	 dropout1	emb_dim	rnn_dim	rnn_layers	lr	model	dropout2	batchSize	horizon	beta	flow_layers	flow_type	Iterations	flow_hid_dim	in_flow_layers	UpperBound2
Arabic	0.0788495717896	0.724871365995	17.8619707915	23.1780513931	5.35426788152	6.06685392962	5.76120094808	5.62423173164	5.54833933617	0.1	150	512	1	0.0005	REAL_REAL	0.05	16	30	0.0788495717896	2	ddsf	13	512	2	6.78043200006
Arabic	0.0263221188023	2.22731142554	26.4865277558	43.6874500018	5.16850554374	5.43416289967	5.32942449702	5.27782240652	5.24844473679	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.0263221188023	4	dsf	52	512	2	22.9059636573
PTB	0.00507155435827	2.59860200622	36.1176083038	44.4808747264	4.64649167814	4.74524248255	4.70598816081	4.68713452824	4.67622257099	0.1	100	256	1	5e-05	REAL	0.2	32	30	0.00507155435827	2	ddsf	170	512	2	30.5057093228
Russian	0.00529392259791	1.22741812948	39.8724120832	26.8410718831	5.07867553279	5.30880952729	5.21175170911	5.16663195879	5.14119723727	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.00529392259791	5	dsf	28	512	2	11.5331123411
PTB	0.134942282059	1.99744679119	8.04161481924	25.6220491662	4.61194347641	5.12615404996	4.92539218944	4.82664700957	4.76849270281	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.134942282059	2	ddsf	123	512	2	11.5109549816
Arabic	0.00698357254826	2.3815483349	48.3391459114	59.5343705527	5.1939596207	5.33690060041	5.28090219965	5.25313386528	5.2369525713	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.00698357254826	5	ddsf	39	512	2	49.1372342715
Arabic	0.155856805649	1.41369356821	6.33578745165	28.6645038284	5.36190457954	5.96585176473	5.72023599879	5.60528095308	5.53939109302	0.1	150	512	1	5e-05	REAL_REAL	0.05	64	30	0.155856805649	3	dsf	147	512	2	12.4206898782
Japanese	0.0059344266169	-2.27093376534	144.681502833	6.29109338653	5.41511522944	7.27443674936	6.40607643058	6.04948663336	5.85888761851	0.1	150	512	1	0.001	REAL_REAL	0.05	2	30	0.0059344266169	5	dsf	15	512	2	0
LDC95T8	0.00646686721116	3.34304105914	66.6763972454	30.7351895208	3.87629316949	4.51318450542	4.26890267985	4.13836754894	4.06376435757	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.00646686721116	5	ddsf	41	512	2	15.0405626047
PTB	0.0202506615011	2.94852919564	29.7008971501	43.794225313	4.52644884137	4.7368691763	4.66171945385	4.62198525295	4.59746398863	0.1	200	512	1	0.001	REAL	0.0	32	30	0.0202506615011	5	dsf	54	512	2	25.5923161791
PTB	0.0122746816874	2.63933049007	29.6584215364	39.9267565971	4.6456563899	4.80145601688	4.7393794222	4.70911903951	4.69176384264	0.0	50	256	1	0.001	REAL	0.0	16	30	0.0122746816874	3	ddsf	66	512	2	25.9276477341
LDC95T8	0.868619203869	-0.0133312898697	0.233564085648	11.0268624571	4.2855392656	6.41246902909	5.51417849921	5.0924229027	4.86015137722	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.868619203869	4	dsf	151	512	2	0
PTB	0.010059946091	2.6617697981	41.3685639655	34.8504143047	4.57343277399	4.71262775679	4.65769402421	4.630749783	4.61522139084	0.1	100	256	1	0.0001	REAL	0.0	32	30	0.010059946091	0	dsf	113	512	2	21.0206698379
PTB	0.0028615315689	3.13972623754	58.9949132746	62.1962178309	4.54250880548	4.63002834236	4.59974848336	4.58267385847	4.57229639666	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.0028615315689	2	ddsf	115	512	2	57.6523741231
PTB	0.0116842876063	2.69727643642	27.3104425444	39.7371223204	4.61672264238	4.7415607644	4.69403831412	4.67029562527	4.65607589664	0.2	100	256	1	5e-05	REAL	0.0	32	30	0.0116842876063	2	ddsf	170	512	2	25.8185315395
PTB	0.0250421989046	2.80716810495	22.3745934013	39.4083116599	4.56166077545	4.76370539859	4.68715878674	4.64843894399	4.62516652094	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.0250421989046	2	ddsf	117	512	2	25.6530991914
Arabic	0.058682704388	1.91578802601	14.5093224616	39.3346258318	5.3213119596	5.63869957736	5.51488171333	5.45455195009	5.41864955686	0.1	150	512	1	5e-05	REAL_REAL	0.05	16	30	0.058682704388	4	dsf	71	512	2	17.899999337
LDC2012T05	0.0792958118094	1.70646468978	11.2163876883	29.9448548523	5.54335885425	6.12395315376	5.88901593188	5.78037679	5.71649514882	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.0792958118094	4	ddsf	50	512	2	13.0422458647
LDC95T8	0.0104341146229	3.92114856524	32.8687496358	75.6594274671	3.97385014626	4.13703268656	4.07606359427	4.04350890263	4.02417982102	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.0104341146229	4	dsf	186	512	2	123.136652953
Russian	0.00423832225946	1.27319375245	61.5605335366	26.8752166059	5.08460034903	5.30788885373	5.21051881663	5.1668552816	5.14291205968	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.00423832225946	0	dsf	22	512	2	11.5413386444
Russian	0.0187337689211	1.57023923492	14.1026666002	94.1851781548	5.1375510311	5.25511073487	5.20652559789	5.18389115115	5.17095940505	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.0187337689211	5	dsf	106	512	2	155.696770168
Russian	0.324788117842	0.103622365739	1.61283586457	11.5335860554	5.15884288842	6.15189741129	5.70477735767	5.51501675885	5.41188445443	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.324788117842	5	dsf	40	512	2	6.27195015815
Japanese	0.0139929097232	-1.58066616879	88.7787873946	6.2983319311	5.33829571132	6.5780688029	5.99273103162	5.7579705446	5.63329312024	0.1	150	512	1	0.001	REAL_REAL	0.05	2	30	0.0139929097232	2	dsf	11	512	2	0
LDC95T8	0.0874451613518	2.84748376479	10.4447292165	27.5370465692	4.05897238146	4.59115362127	4.38050214156	4.273320378	4.21262297205	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.0874451613518	5	dsf	178	512	2	11.0252659102
LDC2012T05	0.425102617554	0.106996257542	0.612164367412	18.9515566454	5.78303573468	7.05141702448	6.53410181745	6.29648029844	6.15854338792	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.425102617554	4	dsf	123	512	2	7.0885028026
Russian	0.139835713877	0.860337043044	2.8161952067	16.8852418813	5.22844852661	5.69160254243	5.48338944885	5.39611527857	5.34830084876	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.139835713877	4	ddsf	154	512	2	6.27926230029
PTB	0.0493462120844	2.27114708359	12.8645549156	30.5103840707	4.66452336524	4.93413674391	4.82473520184	4.77331383236	4.7433412958	0.1	50	256	1	0.001	REAL	0.1	64	30	0.0493462120844	4	dsf	179	512	2	16.3784939478
Russian	0.485755178485	0.126823139186	0.48157760172	11.5339916084	5.16635684759	6.29032501223	5.77679274247	5.5622178164	5.44648234866	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.485755178485	4	dsf	23	512	2	6.2674685657
Japanese	0.476127715954	-0.247496311256	1.2536829609	6.3488551648	5.29812941868	6.35179176281	5.83310244147	5.63840542913	5.53825865989	0.1	150	512	1	5e-05	REAL_REAL	0.05	2	30	0.476127715954	3	dsf	41	512	2	0
Japanese	0.00527862587473	0.630092100521	33.5109193919	11.6777680534	5.24050861602	5.30556741607	5.28101338054	5.2688408424	5.26132401092	0.1	150	512	1	5e-05	REAL_REAL	0.05	2	30	0.00527862587473	5	dsf	36	512	2	6.37675887373
Russian	0.0100789758291	1.12881655582	29.7268507109	21.7792331553	5.08974596204	5.39059086734	5.2595872472	5.20050824544	5.16818673032	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0100789758291	1	ddsf	29	512	2	6.27506024031
LDC95T8	0.141281313446	2.73624012533	8.23021346121	23.2420399271	4.00085457417	4.75326392649	4.46145186555	4.30856966809	4.2223463462	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.141281313446	4	ddsf	125	512	2	10.9890502781
PTB	0.0271376936036	2.08047370945	20.540783412	25.6921789423	4.6285087398	4.90404930117	4.79064853794	4.73723934851	4.70676979701	0.0	200	256	1	0.001	REAL	0.0	64	30	0.0271376936036	0	dsf	111	512	2	11.5228552747
LDC95T8	0.00660845593187	4.19135594768	57.0105742325	57.4703899027	3.80562446286	4.01014203557	3.93807869571	3.89669210282	3.8721711312	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.00660845593187	4	ddsf	50	512	2	57.4703899027
LDC2012T05	0.027593700396	2.23834153552	23.7311294797	40.9657905928	5.50017895405	5.81871905705	5.6919354147	5.63106716975	5.59551122966	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.027593700396	4	ddsf	53	512	2	18.7554884972
Japanese	0.00305048538741	0.998038284325	32.4980062597	17.1786988563	5.28025870926	5.3496468247	5.32360967403	5.31020544031	5.30274463507	0.1	150	512	1	5e-05	REAL_REAL	0.05	32	30	0.00305048538741	3	ddsf	127	512	2	6.51613135972
LDC2012T05	0.00296999746373	2.45158258162	36.9423755785	105.769752604	5.73479768544	5.80898103214	5.77938705164	5.76540158024	5.75724638531	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.00296999746373	4	dsf	161	512	2	174.495513145
Japanese	0.00503914776407	-0.601036635624	130.605018415	6.29298735894	5.29425176138	6.07221804786	5.71759114203	5.57187931271	5.48919853815	0.1	150	512	1	0.0005	REAL_REAL	0.05	2	30	0.00503914776407	5	ddsf	11	512	2	0
PTB	0.0515041279292	2.55397410336	16.0979669478	34.6687012714	4.5491910684	4.85918917402	4.74042417389	4.68109206231	4.64562608651	0.2	100	256	1	0.0002	REAL	0.0	32	30	0.0515041279292	2	ddsf	72	512	2	16.2846114576
