Language	Beta	EE	Memories	UpperBound	FutureSurp	avg16	avg17	avg18	avg19	 dropout1	emb_dim	rnn_dim	rnn_layers	lr	model	dropout2	batchSize	horizon	beta	flow_layers	flow_type	Iterations	flow_hid_dim	in_flow_layers	UpperBound2
LDC95T8	0.301242495656	1.74896882963	3.94968702726	15.1443971536	4.06040348679	5.31853699498	4.82142744417	4.5674868316	4.42454234608	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.301242495656	4	dsf	124	512	2	6.4101763012
Russian	0.11337825405	0.817258032332	5.08229871333	16.7016348112	5.1297704834	5.6283930169	5.41064105621	5.31445375999	5.26153946005	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.11337825405	2	ddsf	33	512	2	6.27439099376
Japanese	0.0243818002649	-1.8744663917	73.690022665	6.29984870421	5.36554566537	6.60210125964	6.01054509411	5.76927127656	5.64688171854	0.1	150	512	1	0.001	REAL_REAL	0.05	2	30	0.0243818002649	2	ddsf	11	512	2	0
Russian	0.0216215077027	1.35819435983	16.3226551193	32.0189882289	5.09063291595	5.26085248078	5.18870110996	5.15562752111	5.13715994322	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.0216215077027	3	dsf	35	512	2	11.5528696896
Russian	0.00410383667183	1.64227248923	30.3429028378	93.7043752439	5.11106600664	5.16400543834	5.14231128852	5.1320375517	5.12602954621	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.00410383667183	5	dsf	123	512	2	154.974252688
Japanese	0.04140280454	-0.574225616362	38.5905603945	6.31613655247	5.38178014655	5.6896914256	5.50216260543	5.44686536247	5.4258302817	0.1	150	512	1	0.0005	REAL_REAL	0.05	2	30	0.04140280454	4	dsf	12	512	2	0
PTB	0.0287081162145	2.54915129254	21.2272019686	34.6925424196	4.55676239804	4.83262790825	4.72532652548	4.67258166609	4.64134426481	0.2	200	256	1	0.001	REAL	0.0	32	30	0.0287081162145	0	dsf	89	512	2	16.27827785
PTB	0.0443842244987	2.41442257059	15.934168142	30.2434209693	4.58737691395	4.86561950292	4.75776381586	4.70484215315	4.67326025061	0.1	100	256	1	0.001	REAL	0.0	32	30	0.0443842244987	2	dsf	110	512	2	16.3181984603
Russian	0.489855551286	0.0596000348324	0.415140615253	11.5687012289	5.2092499215	6.27081944715	5.78208071802	5.58091712712	5.47266627202	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.489855551286	1	dsf	123	512	2	6.27317689794
Japanese	0.00274360789738	0.592924831025	60.9422399607	11.6628078138	5.26680147525	5.37039301154	5.33094068283	5.30995534662	5.29879809264	0.1	150	512	1	0.0001	REAL_REAL	0.05	2	30	0.00274360789738	1	ddsf	23	512	2	6.34889181648
LDC2012T05	0.0103987614231	2.00413679562	39.5268179734	35.4429022965	5.5169100324	5.96048847333	5.77794967044	5.69250149182	5.64411996808	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0103987614231	4	dsf	32	512	2	13.0402331126
LDC95T8	0.390581907367	1.25161684697	2.61024316748	15.1559839178	4.10525300781	5.62177297471	5.01691308827	4.71125135441	4.53979598913	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.390581907367	4	dsf	118	512	2	6.40885955813
Russian	0.363841378759	0.095303164113	1.48464724499	11.5462591678	5.16964041838	6.16579130514	5.71553628133	5.52497627666	5.42199851748	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.363841378759	4	dsf	35	512	2	6.27568436846
Arabic	0.0167753619946	1.22638539647	55.0237394521	23.1921292525	5.32872386363	5.86280993649	5.62638669213	5.52461226055	5.46857777061	0.1	150	512	1	0.001	REAL_REAL	0.05	64	30	0.0167753619946	2	dsf	14	512	2	6.77857316565
LDC95T8	0.259125072144	1.5578231983	4.874588317	15.0395813614	3.9929552097	5.42502526224	4.87185453121	4.58282475354	4.41791748531	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.259125072144	4	dsf	47	512	2	6.41237294608
PTB	0.0121795556868	2.86093604177	39.8541055159	43.7630594783	4.5371816806	4.74128064916	4.66240116569	4.62345136539	4.60025807102	0.1	100	256	1	0.0002	REAL	0.1	32	30	0.0121795556868	0	dsf	68	512	2	30.1097651451
Arabic	0.034999171133	1.47232139246	22.2433564927	28.1345748141	5.22714611148	5.84526884938	5.57950408761	5.45904942856	5.39248051257	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.034999171133	4	ddsf	30	512	2	6.77007266466
LDC2012T05	0.006203966712	2.56375995105	50.7541906683	52.0297270089	5.49008073364	5.65512127805	5.59105372559	5.55968497286	5.54085726536	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.006203966712	6	dsf	48	512	2	35.510297742
Japanese	0.055775374162	0.766311536058	14.2105829175	16.9306992012	5.25451426473	5.3814473165	5.32200785357	5.29828172616	5.2859898281	0.1	150	512	1	0.0001	REAL_REAL	0.05	2	30	0.055775374162	2	dsf	22	512	2	6.35592034088
Russian	0.155656125689	0.390775328991	3.87711108504	11.5261387321	5.12941433856	5.91134789704	5.56557440851	5.41472439234	5.3323987194	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.155656125689	4	dsf	30	512	2	6.26975564406
Japanese	0.0110731600608	0.736271591895	29.5984036868	11.6684975537	5.25334376143	5.33833325024	5.30491019391	5.28827027274	5.27915041126	0.1	150	512	1	0.0001	REAL_REAL	0.05	2	30	0.0110731600608	3	ddsf	22	512	2	6.3524848027
Japanese	0.00253386286068	0.621356560005	48.2919119128	11.6611311149	5.23824777155	5.31808420329	5.28577076965	5.26998745039	5.26150086065	0.1	150	512	1	5e-05	REAL_REAL	0.05	2	30	0.00253386286068	3	dsf	38	512	2	6.3653145808
Russian	0.313988128013	0.142938352723	1.59447384559	11.5499842799	5.17398880669	6.13284549309	5.70174425889	5.51766971136	5.41790081941	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.313988128013	1	dsf	32	512	2	6.27616741561
PTB	0.00480564484974	3.03883149548	48.9015828646	57.4611664616	4.53459252557	4.64800941424	4.60501302214	4.58295768478	4.57007405712	0.1	100	256	1	0.0001	REAL	0.1	32	30	0.00480564484974	2	dsf	126	512	2	52.9240058937
LDC2012T05	0.0180866237904	2.53360174401	20.9356994373	104.639745611	5.66026050488	5.84012114214	5.76732263559	5.7340787645	5.71492261293	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.0180866237904	5	ddsf	109	512	2	172.34141689
LDC95T8	0.299642327597	1.24014025278	3.94893883319	15.0030127292	3.98847288998	5.62233207944	4.98920927719	4.65944976463	4.47172459197	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.299642327597	4	ddsf	60	512	2	6.41011058761
Russian	0.0131804300752	1.43895510398	22.6047459747	37.0697831384	5.07858576578	5.20557462784	5.15262007863	5.12835101113	5.1143838219	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.0131804300752	3	dsf	41	512	2	16.6961300583
PTB	0.0445715048622	2.64775031978	17.6269396535	34.6809942642	4.54531953157	4.84126382587	4.72872144754	4.67199240172	4.63799500616	0.2	100	256	1	0.0002	REAL	0.0	32	30	0.0445715048622	2	ddsf	72	512	2	16.2853258269
PTB	0.109578545787	2.00283604019	8.19830022158	25.8564828135	4.68002653191	5.13501551496	4.95523122922	4.8677705648	4.81678871513	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.109578545787	2	ddsf	79	512	2	11.551119785
Russian	0.00602266742891	1.56977635332	21.0263645413	94.7260159595	5.17139263556	5.23124584865	5.20625682067	5.19511669094	5.18861052376	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.00602266742891	1	dsf	155	512	2	156.71155542
LDC95T8	0.0127880136602	3.75379741557	29.1630189525	76.1338269508	4.00920606124	4.17623617068	4.11444097597	4.08064620554	4.06108488432	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.0127880136602	5	ddsf	166	512	2	124.029979253
PTB	0.159526717066	1.7953220139	6.85397445572	25.6364791178	4.63103156447	5.20389271682	4.97860505893	4.86889557323	4.80429582653	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.159526717066	2	dsf	109	512	2	6.43474956807
PTB	0.00830985436019	3.33991896518	35.8126703719	86.9653844825	4.63269112268	4.81290137208	4.74580158598	4.71169955905	4.69107408699	0.0	100	512	1	0.001	REAL	0.2	64	30	0.00830985436019	1	ddsf	79	512	2	142.320652645
PTB	0.0351733725836	2.609765219	17.8334050812	34.7654938965	4.57124471053	4.83503849778	4.72988415862	4.67913048641	4.64954541413	0.1	100	256	1	0.0001	REAL	0.1	32	30	0.0351733725836	1	ddsf	123	512	2	20.9522815007
LDC95T8	0.31390558227	0.525065326901	1.66462747386	15.0044267938	4.05237678338	6.21332658421	5.36408777353	4.92816004678	4.68147866834	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.31390558227	4	dsf	41	512	2	6.4084697417
Russian	0.0267635662831	1.38673845567	9.65922362107	58.6300896687	5.20352058876	5.34999181475	5.28609605201	5.25847047718	5.24299809348	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.0267635662831	5	ddsf	145	512	2	48.2207398229
PTB	0.0393404316991	1.94451722751	14.1709155768	26.0585975959	4.73497824411	5.02146804314	4.9053818624	4.8501422072	4.8181349734	0.0	50	256	1	0.001	REAL	0.0	64	30	0.0393404316991	0	dsf	121	512	2	11.5880939039
LDC95T8	0.0180936050465	3.97412962471	35.7262508138	45.8648399536	3.80372324077	4.12342045256	4.00610521422	3.94111916371	3.90345626079	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.0180936050465	5	ddsf	60	512	2	34.4293445388
Japanese	0.0139079148086	-1.18095191195	89.118917891	6.29459165409	5.29900196672	6.28106565794	5.81287225487	5.62285924722	5.525187721	0.1	150	512	1	0.001	REAL_REAL	0.05	2	30	0.0139079148086	5	dsf	11	512	2	0
Japanese	0.426753108326	-0.545639548753	0.852149348037	6.33849616389	5.37337202811	6.40034506762	5.85891689506	5.6711470712	5.58101679262	0.1	150	512	1	0.0005	REAL_REAL	0.05	2	30	0.426753108326	1	dsf	12	512	2	0
PTB	0.00252806184655	3.14392629816	58.372316854	85.3080933201	4.55828653288	4.64353994832	4.613094477	4.59662300959	4.58626221071	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.00252806184655	2	ddsf	102	512	2	139.892522285
PTB	0.0506530389289	2.5418477272	14.5774745608	34.8766823788	4.58834662889	4.88276009201	4.76868541195	4.71304794101	4.67990435262	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.0506530389289	2	ddsf	108	512	2	16.3272376415
Japanese	0.0169434840354	0.560698828541	21.4979908747	11.6752433568	5.24635291413	5.31460227314	5.28848920506	5.27596048747	5.26861525038	0.1	150	512	1	5e-05	REAL_REAL	0.05	2	30	0.0169434840354	5	ddsf	39	512	2	6.36977093688
Russian	0.00456374978379	1.68040388912	27.4826195368	94.0755046825	5.12856537512	5.19454337184	5.16813607307	5.15554005553	5.14812602172	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.00456374978379	1	dsf	108	512	2	155.537365143
LDC2012T05	0.00319380719913	2.8008892459	47.8271718089	103.571871701	5.59242309127	5.68042997683	5.64468035931	5.62821202886	5.61873072769	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.00319380719913	5	ddsf	132	512	2	170.573581984
LDC95T8	0.0147276511277	3.79024115953	28.0081183994	75.8262209279	3.98853349252	4.17874224616	4.10781340367	4.0693257935	4.04706153617	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.0147276511277	5	ddsf	180	512	2	123.446245935
PTB	0.0223520969927	2.62339793594	22.6135931882	34.9492354173	4.59559027174	4.79316456469	4.71537157924	4.67790179636	4.65528695417	0.1	100	256	1	0.0001	REAL	0.0	32	30	0.0223520969927	3	dsf	95	512	2	21.0561328017
Japanese	0.230320154383	0.00200500886858	4.93776743272	6.38185218842	5.37738412717	5.86891786626	5.61995344078	5.53177174598	5.48707070678	0.1	150	512	1	0.0005	REAL_REAL	0.05	16	30	0.230320154383	3	dsf	16	512	2	6.38185218842
Japanese	0.0110233038207	0.355034085694	32.8643184942	11.8094155793	5.32408880619	5.3884595186	5.36465970203	5.35297817376	5.34546109964	0.1	150	512	1	0.0005	REAL_REAL	0.05	32	30	0.0110233038207	3	dsf	18	512	2	6.43220936638
Arabic	0.00667655686928	2.06988206435	57.5969719499	38.5258154355	5.18277542813	5.47956395373	5.36095550589	5.3040343725	5.27045091352	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.00667655686928	5	dsf	31	512	2	17.6468912919
PTB	0.327686735937	0.557965310986	2.0109978058	16.341027558	4.77163852494	5.9767309781	5.47778798976	5.24889146384	5.11669289975	0.2	100	256	1	0.0001	REAL	0.1	64	30	0.327686735937	0	ddsf	136	512	2	6.43205919148
Arabic	0.0378371504718	1.9439361663	21.1758071112	39.1497664113	5.2846208822	5.50501124451	5.42189714287	5.38027959667	5.35543068523	0.1	150	512	1	5e-05	REAL_REAL	0.05	16	30	0.0378371504718	4	dsf	87	512	2	17.8557419171
Russian	0.0539650228594	1.31092813928	7.2444759172	37.5483638194	5.16719377952	5.39677784487	5.29717768203	5.25360266968	5.22927821282	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.0539650228594	3	dsf	95	512	2	16.8327239602
LDC2012T05	0.159263881081	1.36521928636	4.56128631855	30.5607868131	5.73679322601	6.41916594465	6.1388988112	6.01184494593	5.93776563744	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.159263881081	4	dsf	110	512	2	13.1533484496
Russian	0.308474342425	0.126390387115	1.88175732935	11.5286358098	5.15021658586	6.16960072847	5.71160816508	5.51623545059	5.41013703923	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.308474342425	5	dsf	25	512	2	6.27030615474
LDC95T8	0.0501209690702	3.51804043371	15.9769237131	43.2679616583	3.96888698077	4.36328003421	4.21182418836	4.1324979877	4.08676478171	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.0501209690702	4	ddsf	111	512	2	27.3354749856
PTB	0.0818656892211	2.26775109275	10.5539725044	30.3030361334	4.61148939776	5.00692913208	4.85336471737	4.7776617843	4.7328501859	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.0818656892211	2	ddsf	103	512	2	11.5235101464
LDC95T8	0.00251747199607	4.3167863296	90.2649673734	72.7857809231	3.79164451923	3.95775802104	3.89751605977	3.86477560168	3.84531411582	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.00251747199607	5	dsf	50	512	2	118.066121907
PTB	0.0126648912466	2.67749099517	32.6227949849	39.1907465988	4.54630920188	4.73238414737	4.65641499896	4.62097507139	4.60021171284	0.0	300	256	1	0.001	REAL	0.1	32	30	0.0126648912466	2	ddsf	97	512	2	20.9038905869
LDC95T8	0.20726909868	2.2867046483	5.68383799364	19.357794836	4.0883535705	5.04826385339	4.66808114765	4.47486531187	4.36576569645	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.20726909868	4	dsf	90	512	2	6.4125358595
LDC95T8	0.0486631579281	3.36417929811	19.2608809357	30.6975015735	3.86583825151	4.39190828216	4.19419616367	4.08748477196	4.0256852267	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.0486631579281	4	ddsf	49	512	2	15.038637424
Russian	0.0141719084113	1.55551181211	15.9523961387	94.2020455789	5.14045069319	5.24229801584	5.19962063124	5.17992445631	5.16883341083	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.0141719084113	3	dsf	101	512	2	155.769032608
LDC2012T05	0.0218967466941	1.71324023255	27.7189601744	29.8639775906	5.52542102647	6.12461320111	5.87898032305	5.7629241003	5.69685452513	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0218967466941	4	ddsf	38	512	2	13.0267200006
PTB	0.285817754118	1.26027077355	4.01992163625	21.0512883019	4.69025267314	5.53327370197	5.20036992735	5.03978290595	4.94496361312	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.285817754118	2	ddsf	94	512	2	6.43170603332
Arabic	0.0264402600533	2.22861185964	18.048660813	71.122595227	5.29930400694	5.4900865478	5.41213139416	5.37519571813	5.35435194391	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.0264402600533	5	dsf	209	512	2	65.8223535922
PTB	0.0303165364306	2.8472239224	22.9154152637	38.8953145808	4.48521341163	4.74603512095	4.64623879254	4.5957092155	4.56563062047	0.2	300	256	1	0.001	REAL	0.0	16	30	0.0303165364306	3	dsf	77	512	2	20.8248065685
Russian	0.0992030997578	0.592812953931	6.14103042767	16.6471966558	5.1149663596	5.74451086221	5.46668604922	5.3455866028	5.27909674893	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0992030997578	2	ddsf	28	512	2	6.26890772288
Arabic	0.0106105755119	1.59511914105	62.3898741385	28.5303710512	5.30408665401	5.6356701132	5.4962894223	5.43273496347	5.39701611616	0.1	150	512	1	0.0005	REAL_REAL	0.05	32	30	0.0106105755119	2	ddsf	18	512	2	12.4025965984
LDC95T8	0.256700460628	2.04476203223	4.8367066026	19.1738178054	4.02858374668	5.15287495254	4.71120364022	4.48425334106	4.35591840138	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.256700460628	4	dsf	138	512	2	6.40944372653
PTB	0.0327011518823	2.91498354932	24.8132123614	38.8991546121	4.47608040965	4.78289342942	4.66767354569	4.60890974907	4.57430571282	0.2	300	512	1	0.001	REAL	0.0	16	30	0.0327011518823	2	ddsf	44	512	2	20.8412025239
Russian	0.0673057311503	1.06992261769	8.60180261653	21.7760438589	5.09411575701	5.43528468129	5.28803094097	5.22244040284	5.18583942052	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.0673057311503	4	ddsf	48	512	2	6.27314145954
LDC2012T05	0.00697651576865	2.49571447311	48.7924461584	52.0505641596	5.49757178932	5.67253200705	5.60097815656	5.5679309181	5.54909973414	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.00697651576865	5	dsf	47	512	2	35.521076628
Russian	0.413400461858	0.0755772139508	0.4744758747	11.5199111739	5.16122976718	6.29096785928	5.773718001	5.55868435741	5.44276519485	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.413400461858	3	ddsf	33	512	2	6.26678044032
Russian	0.0182368631466	1.53800455903	13.1657131068	89.531371917	5.16777392468	5.29218340405	5.2383792439	5.21483581184	5.20168157	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.0182368631466	2	ddsf	87	512	2	156.571222299
Russian	0.0670660472768	0.75279706371	8.42871931036	16.666787332	5.11221042819	5.62444163677	5.39910826536	5.30011988527	5.24574998138	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0670660472768	4	ddsf	23	512	2	6.27218431863
LDC95T8	0.262549767895	1.45627158792	4.70822238364	15.0395625856	4.00602951917	5.48470171759	4.90874018081	4.60961643918	4.44000508351	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.262549767895	4	ddsf	45	512	2	6.41070981144
LDC2012T05	0.0723112064901	2.02821341091	9.2045650592	47.8762967082	5.72050279008	6.11807426283	5.95584311413	5.88195827836	5.83893208609	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.0723112064901	5	ddsf	102	512	2	30.6645542828
LDC2012T05	0.361842720652	0.048694321209	1.45994027883	18.7406806775	5.65087194026	7.07723512205	6.50801891999	6.23796152869	6.08055734099	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.361842720652	4	dsf	49	512	2	7.08621465703
PTB	0.00198246002898	2.84921872773	90.5322688176	53.6571413603	4.61736710614	4.68451722836	4.65955099182	4.64663826382	4.63884060031	0.2	50	256	1	0.001	REAL	0.1	32	30	0.00198246002898	0	ddsf	132	512	2	44.412092011
PTB	0.42720600121	0.444587924898	2.25014217083	16.4670350434	4.80989513279	6.10830807834	5.59311416082	5.35176991379	5.20755276827	0.0	50	512	1	0.001	REAL	0.0	16	30	0.42720600121	1	ddsf	35	512	2	6.42503742629
Russian	0.0146080184744	1.13900884355	27.6499258471	21.7669822823	5.08563164083	5.38495613686	5.25345677467	5.19483265011	5.16274815734	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0146080184744	0	dsf	28	512	2	6.27293268701
Arabic	0.0435398931556	0.526922344972	36.3688409922	17.8083844964	5.3728696206	6.27653696943	5.87486517048	5.70165606422	5.6060677186	0.1	150	512	1	0.001	REAL_REAL	0.05	16	30	0.0435398931556	2	ddsf	10	512	2	6.78068652951
Japanese	0.00649134371646	0.646582542788	38.0969183728	11.6651895301	5.25509315108	5.33754957488	5.30318612111	5.28722045806	5.27841256599	0.1	150	512	1	0.0001	REAL_REAL	0.05	2	30	0.00649134371646	5	dsf	22	512	2	6.35369627214
Japanese	0.177195975428	-0.933826056348	3.6617232769	6.31578559149	5.48019076461	6.38038049012	5.86540601709	5.69770124868	5.62604130536	0.1	150	512	1	0.001	REAL_REAL	0.05	2	30	0.177195975428	2	ddsf	11	512	2	0
PTB	0.33580670663	0.875904961969	3.27139138175	16.3205379025	4.70386802603	5.66522100376	5.28294119711	5.10074584313	4.99254895907	0.1	100	256	1	0.001	REAL	0.0	32	30	0.33580670663	3	dsf	92	512	2	6.43031453811
PTB	0.00745891788395	2.5446996357	46.4447553941	34.8413414613	4.59091242638	4.73935136699	4.67966599669	4.65047437304	4.63399712478	0.0	100	256	1	0.0001	REAL	0.2	32	30	0.00745891788395	0	ddsf	119	512	2	20.9754189822
LDC95T8	0.733844958069	0.0664118679601	0.393074192543	10.9664055288	4.16045770494	6.41372757793	5.48643077026	5.03833318608	4.78865834779	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.733844958069	4	ddsf	128	512	2	6.40742910369
Russian	0.00591710115106	1.53403018538	36.0855777087	42.0972376574	5.06635252965	5.16588959629	5.12424210582	5.10467617909	5.093743355	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.00591710115106	4	dsf	46	512	2	26.8763638812
LDC95T8	0.0029342366691	3.63472690808	91.6278515867	34.5569867762	3.84724448656	4.30954352296	4.13272635623	4.03890355105	3.98480292031	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0029342366691	4	ddsf	36	512	2	22.9352249998
Arabic	0.0727859995284	1.20362159678	13.392507606	22.8894025629	5.23667592498	6.00992445515	5.67937405744	5.53000387612	5.44677015733	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0727859995284	5	dsf	32	512	2	6.76895198565
Russian	0.00379884788913	1.3063284935	67.3151496479	26.8530897984	5.07495421053	5.29318257421	5.19849962857	5.15645215926	5.13281189212	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.00379884788913	0	ddsf	26	512	2	11.5378174195
LDC95T8	0.00489848960997	3.35496615032	70.1191496536	30.8418679473	3.89463310006	4.43925979317	4.22951693272	4.11777436308	4.05412331558	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.00489848960997	5	dsf	29	512	2	15.0669125237
PTB	0.0329911008371	2.65405640141	17.4355699633	39.4808757558	4.58935194639	4.82774332601	4.73467738728	4.68848132109	4.66158363598	0.2	100	256	1	0.0001	REAL	0.1	32	30	0.0329911008371	2	ddsf	116	512	2	25.6586719404
Russian	0.015894354426	1.31321563023	21.6476580722	26.9106405678	5.08910026018	5.27442529765	5.19529838435	5.16019584029	5.14021474614	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.015894354426	0	dsf	39	512	2	11.5474873433
Russian	0.00984664864066	1.45681771995	24.5666849486	37.1408940944	5.09005745508	5.21082500806	5.16142009188	5.13813837942	5.12474962934	0.4	150	256	1	0.0005	REAL_REAL	0.2	32	30	0.00984664864066	2	dsf	34	512	2	21.8406762156
LDC2012T05	0.00680504428327	2.32134225375	22.7547856439	107.999851475	5.8643374641	5.96068658432	5.92313825951	5.90448242	5.89378066368	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.00680504428327	4	ddsf	108	512	2	178.251466177
LDC2012T05	0.010607761476	2.61477188755	26.2904635922	104.865909932	5.67170714028	5.80092206378	5.74902466766	5.72517698006	5.71098883717	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.010607761476	4	ddsf	103	512	2	172.765986096
PTB	0.0436362936657	1.85058912553	14.1111231117	25.8305418551	4.69557685476	5.02659424285	4.88775855424	4.8241231076	4.78773902934	0.0	50	256	1	0.004	REAL	0.2	32	30	0.0436362936657	0	ddsf	113	512	2	11.5215381879
LDC95T8	0.00973900662734	4.18129522415	38.400514156	74.213195727	3.87828767325	4.04657745701	3.98671206557	3.95252846801	3.93259572854	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.00973900662734	4	ddsf	141	512	2	120.529925422
Japanese	0.26787571643	0.0983763256976	3.72469643672	6.34617873138	5.30041111613	5.97266227138	5.64140998423	5.5175177428	5.45496295796	0.1	150	512	1	0.0001	REAL_REAL	0.05	2	30	0.26787571643	2	ddsf	23	512	2	6.34617873138
PTB	0.00795415636927	3.00861443602	38.440922317	53.1342202208	4.55438760593	4.66737535572	4.62528831914	4.60341804078	4.59032765648	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.00795415636927	2	dsf	116	512	2	39.4518883139
Russian	0.0445262302161	0.840549802027	11.9456172459	16.6650464954	5.10540052476	5.57122634194	5.36408857667	5.27356255296	5.22452308976	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0445262302161	2	dsf	28	512	2	6.27428783476
Russian	0.101566306589	0.608017876026	5.4814330216	16.6970873093	5.13813858126	5.79175707837	5.50263909908	5.37602591991	5.30709494993	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.101566306589	4	dsf	20	512	2	6.27724833014
LDC95T8	0.235771429498	1.04481357154	3.78749358682	15.0241423603	4.02944131525	5.81114864274	5.12147745853	4.76083793071	4.55557842965	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.235771429498	4	ddsf	36	512	2	6.40992573541
Japanese	0.0686553687971	0.516558801623	12.82292161	11.65454911	5.25801528505	5.44246410406	5.35599393798	5.32390298555	5.30644600716	0.1	150	512	1	0.0001	REAL_REAL	0.05	2	30	0.0686553687971	2	dsf	22	512	2	6.34876672773
LDC95T8	0.232439079005	2.27367929597	5.323237913	19.2499801249	4.04616841355	5.08192393864	4.6765648328	4.46656806314	4.34783102551	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.232439079005	4	dsf	116	512	2	6.41000694626
Arabic	0.0226392982812	1.56064932414	26.8601262672	28.1735375554	5.23164318795	5.74024925351	5.52301102874	5.42405042975	5.36909099508	0.4	150	256	1	0.001	REAL_REAL	0.2	32	30	0.0226392982812	5	dsf	25	512	2	12.3220879237
Russian	0.024561194692	1.40767879351	10.9299741016	47.9617858834	5.17097487998	5.3092113549	5.2491211126	5.22301108984	5.20837711679	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.024561194692	5	ddsf	168	512	2	32.4370841727
LDC95T8	0.0103000403148	4.11919298644	35.5005422549	75.1239148163	3.93228848594	4.10435559474	4.04134069103	4.00679818024	3.98665166977	0.4	150	256	1	0.0001	REAL_REAL	0.2	32	30	0.0103000403148	4	ddsf	114	512	2	122.087847565
Russian	0.289661316807	0.341231073431	0.937919671489	11.610671553	5.23940991941	6.01628588882	5.66262286762	5.51587486897	5.43632493327	0.4	150	256	1	5e-05	REAL_REAL	0.2	32	30	0.289661316807	5	dsf	173	512	2	6.27775673846
