Language	Beta	Horizon	CodeNumber	Dirichlet	Memory	Surprisal
BackwardsEnglish	0.264379025926	1	100	0.01	0.91833794117	2.24477696419
rrxor	0.422945905658	1	100	1e-05	3.46332811318e-08	0.952422916889
English	0.275862132552	1	100	1e-06	0.798089981079	2.29078435898
EnglishRANDOM_BY_TYPE	0.0328020986455	2	100	0.01	3.63929414749	1.99574613571
English	0.0108779581108	3	100	1e-05	4.26110124588	2.07324194908
forget2_0_5b	0.183356037594	2	100	1e-06	0.407365858555	0.585531592369
even	0.731933024961	3	100	1e-06	4.26907433848e-08	0.597473204136
English	0.306604424541	3	100	1e-06	1.48771035671	1.97553503513
BackwardsEnglish	0.224069606409	2	100	1e-06	1.73014211655	1.97570383549
English	0.0442179486054	2	1000	1e-05	3.78395318985	1.94185054302
English	0.324269004495	1	100	1e-06	0.434552669525	2.39922499657
EnglishRANDOM_BY_TYPE	0.100394473364	3	100	0.001	4.17016458511	2.2211534977
English	0.00707812607965	3	100	1e-06	4.25512742996	2.06732726097
English	0.0690535484771	3	100	0.01	4.0643787384	2.03153014183
BackwardsEnglish	0.0327403033043	2	100	0.0001	3.63504600525	1.9149132967
rip	0.607625943119	7	100	0.001	0.525531888008	0.470862776041
English	0.354184171923	2	100	1e-06	0.736055254936	2.12187457085
English	0.129478612073	2	100	1e-06	2.42660951614	1.93241095543
English	0.00367281560786	1	1000	0.001	2.56223845482	1.99400734901
English	0.385705899284	2	100	0.01	0.556691467762	2.15462207794
even	0.26014862277	7	100	1e-06	0.801859617233	0.471013307571
English	0.0042985591264	3	100	0.01	4.32481431961	2.0660943985
forget2_0_5b	0.103515781891	1	100	0.01	0.658577203751	0.564077615738
rip	0.565106920625	7	100	0.0001	0.564838290215	0.468151032925
BackwardsEnglish	0.21737218041	1	100	0.01	1.2880525589	2.15612840652
rrxor	0.115925661032	5	100	1e-05	1.8447830677	0.841303527355
rip	0.0370621474958	5	100	1e-05	1.37580990791	0.443533480167
rip	0.596718275431	1	100	0.01	1.03721458089e-08	0.609228074551
English	0.042348062746	2	100	0.001	3.41850113869	1.91881358624
even	0.552232209286	7	100	1e-06	0.532010912895	0.48766425252
even	0.236612882677	2	100	0.01	0.278702557087	0.582232773304
rrxor	0.11454812171	7	100	1e-05	2.65007925034	0.810371756554
forget2_0_5b	0.283313179025	7	100	0.0001	0.000737072492484	0.581626594067
English	0.0078759544462	2	100	0.001	3.92732381821	1.9239256382
English	0.160591405151	1	100	1e-06	1.77171945572	2.08335518837
forget2_0_5b	0.618742978048	1	100	0.001	4.18809378289e-08	0.693291604519
rrxor	0.0853110284531	3	100	1e-06	1.10504567623	0.89513784647
English	0.00626259820509	3	100	1e-06	4.25678825378	2.06697392464
English	0.0745925003759	1	100	1e-05	2.52150130272	1.99605691433
EnglishRANDOM_BY_TYPE	0.119747897477	1	100	1e-05	1.62394082546	2.16950011253
even	0.467634472159	6	100	0.0001	0.576380074024	0.487451285124
BackwardsEnglish	0.278214913519	1	100	1e-05	0.790188074112	2.27939605713
forget2_0_5b	0.651367787299	3	100	1e-06	0.000341761595337	0.604244351387
EnglishRANDOM_BY_TYPE	0.330283942786	1	100	0.001	0.238689646125	2.39183807373
rrxor	0.63316483537	2	100	0.01	5.99796550205e-08	0.94489467144
rrxor	0.187941232532	1	100	0.001	1.03467145962e-08	0.951090097427
rip	0.371771879375	6	100	1e-06	0.998990595341	0.448694080114
English	0.11271004834	2	100	0.01	2.59935665131	1.92585337162
English	0.0038859115804	3	100	1e-05	4.30982398987	2.06459832191
English	0.112064702244	2	100	0.01	2.61359906197	1.92594826221
English	0.273264604504	3	20	0.01	1.69012367725	1.95425283909
English	0.0388102772608	3	100	1e-06	4.15104627609	2.05823493004
rip	0.143063959622	6	100	0.01	1.32364213467	0.434138685465
English	0.213558177381	2	100	1e-06	1.79506957531	1.97725772858
English	0.0169699742192	2	1000	0.01	4.5083360672	1.95689713955
even	0.505087088759	5	100	1e-05	0.392662584782	0.518475413322
even	0.174903835714	7	100	1e-05	0.847884178162	0.470220983028
forget2_0_5b	0.784260367219	1	100	0.01	3.19273603111e-08	0.693308234215
forget2_0_5b	0.219524615847	4	100	1e-05	0.217244893312	0.582387983799
BackwardsEnglish	0.0914896482007	1	100	0.01	2.24146485329	2.01411604881
even	0.612717026965	8	100	1e-06	0.594144701958	0.475255191326
rip	0.300425133425	6	100	1.0	1.12202680111	0.441572189331
rip	0.363516537314	3	100	1e-06	0.126798093319	0.578035354614
even	0.666462961009	15	100	0.0001	0.632252454758	0.464795440435
English	0.00263877340707	1	100	0.001	2.56124186516	1.99401700497
rip	0.580121771943	4	100	0.01	0.000442918797489	0.571892678738
even	0.649343901933	1	100	1.0	5.16840579223e-08	0.63705009222
rip	0.806976927392	3	100	1e-06	6.53869221878e-07	0.590389311314
rip	0.764518915632	15	100	0.001	0.665756583214	0.431516140699
English	0.0947491847269	2	100	1e-06	2.77963042259	1.91984975338
forget2_0_5b	0.707602554428	2	100	0.0001	3.06816616558e-08	0.628409147263
English	0.307681080766	1	100	0.01	0.555988550186	2.3610200882
forget2_0_5b	0.675784047773	4	100	1e-06	0.000209462232306	0.595687687397
even	0.0200462209935	4	100	1e-05	1.04018986225	0.49240770936
even	0.686249259153	1	100	0.001	1.03913748717e-07	0.637487530708
English	0.070723381267	2	1000	1e-05	3.3907687664	1.93268144131
English	0.33415382748	2	100	1e-05	0.845230698586	2.10319066048
English	0.00494807298302	1	100	1e-05	2.56117916107	1.99403774738
rip	0.198979330035	5	100	0.0001	1.1925201416	0.449150651693
English	0.00384081438918	1	100	0.0001	2.56126618385	1.99401021004
even	0.048746921588	8	100	0.01	0.831020534039	0.467372179031
even	0.0257249432708	2	100	1e-05	1.00922572613	0.542129456997
English	0.00351712101013	3	100	0.001	4.33245182037	2.06946897507
forget2_0_5b	0.482240904993	2	100	1e-05	0.000235856787185	0.628359258175
English	0.0639855211384	3	100	0.0001	4.11961221695	2.04617500305
English	0.00776347961699	2	1000	1e-06	4.53251218796	1.96363186836
English	0.387216622982	1	100	0.0001	0.0150994192809	2.55710053444
forget2_0_5b	0.74870641185	7	100	1e-05	0.000450596533483	0.580543935299
English	0.110480836545	2	100	0.001	2.63075137138	1.92483007908
English	0.011686213111	1	100	1e-05	2.56071186066	1.99404716492
rrxor	0.0523018287493	2	100	0.001	1.03341066837	0.911290287971
rrxor	0.97883830799	3	100	1e-06	1.9318624922e-08	0.932725191116
rip	0.483005565824	5	100	0.001	0.439722239971	0.504158854485
English	0.0151852748536	2	100	0.0001	3.94806003571	1.91833460331
rip	0.38752932013	3	100	1e-06	0.000342459883541	0.593874037266
rip	0.0124910945448	3	100	0.0001	1.22109854221	0.488422244787
English	0.189372857258	2	1000	0.001	2.00998187065	1.96228682995
even	0.369730925012	15	100	0.01	0.666074514389	0.465453356504
BackwardsEnglish	0.262176834205	1	100	1e-05	0.937404990196	2.23985981941
BackwardsEnglish	0.300237507893	2	100	0.01	1.26667773724	2.03358602524
English	0.222464904395	1	100	0.0001	1.19119262695	2.19298672676
English	0.320929287856	1	20	0.0001	0.45996016264	2.39104795456
English	0.211413069598	3	100	0.001	2.34574556351	1.94979763031
English	0.223045838125	1	100	1e-05	1.18609762192	2.19411826134
even	0.48180764002	1	100	0.0001	2.06856984875e-08	0.637523770332
English	0.00845667584859	2	100	0.0001	3.92822217941	1.92237484455
even	0.893599568505	2	100	0.001	4.86869886629e-08	0.62091833353
rrxor	0.800679289922	7	100	1e-06	0.00226416764781	0.897755742073
rrxor	0.286691068378	1	100	0.0001	3.33345528958e-09	0.949949026108
forget2_0_5b	0.70774317092	1	100	0.0001	3.71964254953e-08	0.693256020546
BackwardsEnglish	0.0674149397721	1	100	1e-06	2.43688559532	1.99981105328
forget2_0_5b	0.083479981951	1	100	0.01	0.676375150681	0.563394963741
even	0.281738512589	1	100	1.0	6.73331328471e-08	0.637623548508
English	0.204385344675	2	100	1e-06	1.85823023319	1.97104418278
rip	0.76657528221	6	100	0.0001	0.000268636562396	0.540362417698
forget2_0_5b	0.0526864259658	7	100	1e-06	0.692997992039	0.562714219093
rip	0.20246972446	5	100	0.001	1.18241381645	0.449401676655
English	0.00235959306417	3	100	0.0001	4.29753923416	2.06735467911
forget2_0_5b	0.230880215969	3	100	0.001	0.145696267486	0.594229876995
forget2_0_5b	0.115801889783	6	100	0.001	0.642492413521	0.565967023373
English	0.166362660558	1	100	1e-05	1.7067193985	2.09369874001
even	0.190696903839	5	100	1e-06	0.886806607246	0.483391702175
rip	0.370671048803	7	100	1.0	1.03585481644	0.436997145414
rip	0.25198494337	15	100	1e-06	1.10292971134	0.420544683933
English	0.346953409119	1	100	0.001	0.298612058163	2.44511008263
rrxor	0.00869893284319	6	100	0.0001	3.98858141899	0.836174070835
English	0.00700163688784	3	100	0.0001	4.27943181992	2.06356334686
rrxor	0.289071812581	4	100	1.0	0.00131047260948	0.928165555
rrxor	0.381367361633	3	100	1.0	-7.77739928015e-10	0.930271148682
English	0.0880615211418	2	1000	0.0001	3.05797767639	1.92701017857
English	0.00254583123489	1	100	0.001	2.56109952927	1.99403107166
rrxor	0.665595318932	3	100	0.0001	0.00105313083623	0.936951577663
rrxor	0.0155930446693	3	100	1e-06	2.04253482819	0.877259910107
English	0.0066387876084	1	100	0.001	2.56106615067	1.9940032959
English	0.357206529118	2	100	0.0001	0.713937878609	2.12547326088
rip	0.192237792859	2	100	0.01	0.375807970762	0.564517736435
rrxor	0.191616782768	4	100	0.01	0.317405223846	0.908439576626
rip	0.0207835281124	6	100	1e-05	1.35473752022	0.433356016874
English	0.197877081468	2	100	1e-06	1.88652658463	1.96844983101
EnglishRANDOM_BY_TYPE	0.356005801794	1	100	0.0001	5.31921422464e-08	2.49511480331
even	0.419263508593	5	100	1.0	0.494362592697	0.509407162666
rrxor	0.258309838466	6	100	1e-05	0.911807000637	0.862075030804
rrxor	0.96395679965	3	100	1.0	2.04979766494e-08	0.940055847168
even	0.83046104361	3	100	0.001	3.74261510672e-08	0.599488079548
even	0.205621978022	7	100	0.01	0.846366465092	0.470138043165
English	0.175725098819	2	100	0.01	2.06259655952	1.95436918736
English	0.00116871146222	3	100	1e-05	4.32772302628	2.07245612144
forget2_0_5b	0.669633745893	8	100	1e-06	0.000378821830964	0.576785385609
rip	0.859617573508	5	100	0.01	3.39236052582e-08	0.554963707924
rip	0.644550311344	2	100	0.0001	-6.06954841942e-09	0.61121827364
English	0.294315092837	2	100	0.0001	1.12554061413	2.05970025063
even	0.326520724641	7	100	0.01	0.761706054211	0.472939908504
EnglishRANDOM_BY_TYPE	0.26715440748	1	100	0.001	0.409029811621	2.37244534492
English	0.0357842659466	2	100	1e-06	3.46868634224	1.91790950298
forget2_0_5b	0.129411741311	3	100	0.01	0.611627280712	0.564580976963
rip	0.345180676022	5	100	1e-05	0.964564919472	0.460142195225
English	0.374407201289	1	100	0.0001	0.0797506570816	2.53023195267
even	0.608127045819	1	100	0.01	3.20600861414e-08	0.636263370514
even	0.511058605794	2	100	1e-06	2.70485962517e-08	0.621383845806
English	0.00806470886143	2	100	1e-05	3.93304824829	1.9250344038
even	0.369844134515	1	100	0.0001	3.41026691331e-08	0.63541072607
English	0.104828660423	1	100	0.0001	2.34822773933	2.00947165489
English	0.103056483524	2	100	1e-05	2.71349740028	1.92200863361
even	0.0389493796	2	100	1e-06	0.992473244667	0.541799485683
English	0.00382295300862	2	1000	0.0001	4.54368686676	1.96378839016
forget2_0_5b	0.191635247174	7	100	0.0001	0.375711560249	0.570563971996
forget2_0_5b	0.316266418154	1	100	0.0001	3.40535288856e-09	0.693302214146
English	0.216604429307	3	100	0.01	2.33997178078	1.9545545578
English	0.0937698394716	3	20	0.01	2.66152071953	1.93671762943
even	0.665728892916	7	100	1e-05	0.463858634233	0.493608951569
even	0.0572226023197	6	100	1e-05	0.931650400162	0.474094390869
rip	0.395692963516	3	100	0.0001	0.000342471525073	0.592194855213
even	0.53019908997	1	100	1e-06	7.86976102063e-08	0.635080933571
even	0.829224492447	4	100	0.0001	3.37780896587e-08	0.58162933588
English	0.23612329663	2	100	0.0001	1.62823462486	1.99492776394
even	0.152035776797	3	100	1.0	0.862191617489	0.517108976841
English	0.149079948046	2	100	1e-06	2.26763749123	1.94062495232
EnglishRANDOM_BY_TYPE	0.367430004059	1	100	0.01	0.134486675262	2.44401359558
rip	0.626872354408	3	100	1e-06	0.000340788712492	0.591687738895
rrxor	0.890080404389	5	100	1.0	3.30400276027e-08	0.911666572094
rrxor	0.427418286365	2	100	1.0	5.09497688483e-08	0.944341659546
rrxor	0.259014769102	4	100	1.0	0.00162993581034	0.930250883102
English	0.212395232639	3	100	1e-05	2.35471463203	1.95703649521
forget2_0_5b	0.437075243217	3	100	0.0001	0.000342438346706	0.606994330883
even	0.839366292589	7	100	1e-05	0.0003473412944	0.546224474907
forget2_0_5b	0.565215444236	2	100	0.01	1.5150551036e-08	0.626952826977
even	0.304491727072	15	100	0.01	0.664828181267	0.465716302395
English	0.355898553894	1	100	0.01	0.258458286524	2.46007370949
even	0.389074018612	4	100	0.001	0.491717547178	0.516568243504
rrxor	0.150171752042	7	100	0.0001	2.28961014748	0.80461359024
English	0.698422451158	2	100	1e-05	1.43714711243e-08	2.27870154381
even	0.112948409289	4	100	0.0001	0.958396852016	0.493449121714
English	0.00815320572037	3	100	0.01	4.26156520844	2.05674052238
English	0.356450248185	2	100	0.0001	0.717911660671	2.12482452393
even	0.316844956537	1	100	0.0001	1.53734696084e-08	0.638553261757
even	0.799056142492	4	100	1e-06	5.16966780495e-09	0.581199288368
even	0.697909460582	3	100	0.0001	5.24805727764e-08	0.597845137119
rrxor	0.208451524362	3	100	1.0	0.00064887694316	0.937820613384
even	0.870236229299	5	100	1e-06	1.15295861747e-08	0.567244052887
even	0.700390594366	2	100	1e-06	6.58051320102e-08	0.621806442738
even	0.774121772288	2	100	0.001	2.7769027966e-08	0.621815383434
English	0.318068672045	1	100	1e-05	0.480281800032	2.38458657265
even	0.369158668573	7	100	1e-06	0.738540828228	0.474371165037
forget2_0_5b	0.456382252599	3	100	1e-06	0.000342442654073	0.606284320354
English	0.0744622749155	2	100	0.0001	3.01737546921	1.91551196575
EnglishRANDOM_BY_TYPE	0.155118626492	1	100	0.0001	1.37337124348	2.15928840637
rip	0.33327259638	4	100	1.0	0.780464589596	0.490494459867
even	0.667632207173	6	100	0.001	0.421868443489	0.502118051052
English	0.00166094896427	2	100	0.0001	4.00963687897	1.92338728905
BackwardsEnglish	0.142972858624	1	100	1e-06	1.88706302643	2.05423045158
English	0.375732515901	2	100	1e-06	0.610740721226	2.14443325996
BackwardsEnglish	0.107233526365	1	100	0.01	2.13587522507	2.0240111351
English	0.387790686921	2	100	0.001	0.546325266361	2.15669822693
rrxor	0.456604993098	3	100	0.001	0.00105560431257	0.933883666992
English	0.0095373609703	2	100	0.01	3.86513900757	1.92285692692
even	0.666711292234	6	100	0.01	0.446185857058	0.500953733921
English	0.201560173137	3	100	1e-05	2.42429852486	1.95734083652
rrxor	0.866695231986	4	100	0.01	4.14481284849e-08	0.927957177162
forget2_0_5b	0.194211988008	5	100	0.01	0.357421398163	0.571638703346
even	0.698606965046	1	100	0.001	1.12698977262e-07	0.634629189968
English	0.00153977874531	3	100	0.01	4.32375860214	2.06252384186
rip	0.049808475694	8	100	0.0001	1.27164101601	0.42293176055
rrxor	0.886235355421	1	100	1e-05	3.22865219005e-08	0.947508335114
English	0.253195388836	2	1000	0.0001	1.51120066643	2.01050949097
rip	0.838895386926	3	100	1.0	8.15783884889e-10	0.592777788639
rip	0.371180304082	4	100	1e-05	0.668143749237	0.501496195793
English	0.170578518927	3	20	1e-05	2.32447314262	1.93892240524
English	0.0608899647343	1	1000	1e-06	2.54928660393	1.99453580379
English	0.300307338187	3	100	1e-06	1.53641963005	1.97109556198
rip	0.689907404207	2	100	1.0	2.0773727627e-08	0.612809240818
English	0.184324692069	2	100	1e-06	2.01310348511	1.95823955536
English	0.00153556560943	2	100	0.001	3.93366193771	1.92538118362
English	0.199574858551	3	100	0.001	2.4885892868	1.95914661884
rip	0.554629300184	15	100	0.0001	0.672248244286	0.430654257536
rip	0.355438385667	7	100	1e-05	1.03666424751	0.436565548182
rrxor	0.494796794851	2	100	0.01	0.000722543918528	0.948136866093
even	0.934404849498	7	100	0.001	1.62632363132e-09	0.54541695118
rip	0.860236128161	5	100	0.001	-1.18762688572e-08	0.557420313358
EnglishRANDOM_BY_TYPE	0.348504231001	2	100	1e-05	0.305001318455	2.24832606316
rrxor	0.354743888448	4	100	1e-05	0.000666409905534	0.926216483116
rrxor	0.713224180734	2	100	0.0001	2.69351367876e-08	0.947273671627
English	0.111055390905	1	100	0.001	2.29941225052	2.01395606995
rip	0.0669959990481	8	100	0.001	1.26827991009	0.423174619675
English	0.0502114157502	1	100	0.001	2.55556869507	1.99425184727
forget2_0_5b	0.16602181056	7	100	0.01	0.485553979874	0.567555129528
forget2_0_5b	0.452514626213	3	100	0.0001	0.000343285821145	0.606932759285
even	0.403380919784	4	100	0.01	0.479369968176	0.518970787525
even	0.31753580732	3	100	0.001	0.28005117178	0.56204855442
even	0.693435410795	15	100	1e-06	0.631941974163	0.464570939541
forget2_0_5b	0.505955745466	1	100	0.01	-5.17983078652e-09	0.693260014057
English	0.326420173433	2	100	0.0001	0.901872575283	2.09382224083
English	0.00141625126124	1	1000	1e-06	2.56229805946	1.99399113655
rip	0.359551941468	1	100	0.001	1.38466916155e-07	0.609886586666
English	0.00123232344489	1	1000	1e-05	2.56224370003	1.99399781227
English	0.00250907427719	2	1000	1e-06	4.53342437744	1.96501863003
even	0.570155476751	15	100	0.001	0.635231494904	0.464260905981
BackwardsEnglish	0.171471620859	1	100	0.01	1.60854291916	2.09593486786
English	0.288210432761	2	100	1e-05	1.17289459705	2.0529294014
rip	0.026722847508	4	100	0.001	1.35643553734	0.460532546043
rrxor	0.63850558782	7	100	0.001	0.00112682336476	0.901482403278
even	0.797174991596	7	100	0.001	0.214706033468	0.519591271877
rip	0.411271029393	7	100	1.0	1.02421104908	0.437554657459
forget2_0_5b	0.30629034934	3	100	0.0001	0.000342737213941	0.605430424213
rrxor	0.782269023573	1	100	1e-05	-1.03712185506e-08	0.94584017992
English	0.140322142133	1	100	0.01	2.05420613289	2.04260849953
English	0.206149937415	2	100	1e-05	1.84166145325	1.97258150578
rip	0.903514827418	8	100	0.01	2.70185562812e-08	0.516439795494
English	0.185868716964	3	20	0.0001	2.21430253983	1.94113099575
English	0.00687734177008	2	1000	0.01	4.52886581421	1.96297204494
rip	0.982626564235	6	100	0.0001	1.97985876582e-08	0.540163636208
rip	0.505179789113	15	100	0.01	0.805977404118	0.426489710808
even	0.0415555717233	1	100	0.001	0.453501403332	0.613381206989
rrxor	0.364481965334	1	100	1e-06	-8.03840549679e-10	0.947902202606
English	0.297848588749	2	20	0.01	1.09852218628	2.06351089478
even	0.52905511317	3	100	1.0	-2.16501412353e-08	0.597860753536
English	0.375995431091	3	100	1e-05	0.875001549721	2.03093791008
rip	0.584588611254	8	100	0.01	0.583895981312	0.459207266569
even	0.205169827961	5	100	0.0001	0.873423397541	0.483992874622
EnglishRANDOM_BY_TYPE	0.376992973428	1	100	0.01	0.00620681513101	2.4927520752
EnglishRANDOM_BY_TYPE	0.0420438336855	1	100	0.01	2.35532999039	2.14795351028
rrxor	0.450681566706	1	100	1e-05	-1.5256349073e-08	0.950435936451
English	0.170704427379	1	100	0.0001	1.66451454163	2.10070443153
EnglishRANDOM_BY_TYPE	0.337784375493	2	100	1e-06	0.39236086607	2.20662760735
English	0.352014918176	2	100	1e-05	0.747043371201	2.12000465393
forget2_0_5b	0.36462241117	4	100	1e-06	0.000444709585281	0.595956623554
even	0.163638728443	1	100	0.001	1.15116151278e-07	0.637685358524
English	0.025788021806	2	100	0.0001	3.83733129501	1.91680788994
rrxor	0.134660854145	3	100	1e-05	0.00105714413803	0.934868037701
rip	0.976295685458	4	100	1e-06	7.68935535689e-07	0.572713494301
English	0.00564306843222	1	100	1e-05	2.56043362617	1.99408137798
even	0.152466999059	2	100	1e-06	0.42305958271	0.567541658878
even	0.404994983065	6	100	1e-06	0.592735588551	0.486126035452
English	0.0444559590603	1	1000	0.001	2.55942034721	1.99411070347
EnglishRANDOM_BY_TYPE	0.253356722107	2	100	1e-05	0.571743071079	2.22202754021
forget2_0_5b	0.267356213663	5	100	0.01	0.000539699452929	0.586745619774
even	0.351387800636	15	100	1e-05	0.6706122756	0.465479493141
forget2_0_5b	0.623195434559	4	100	0.001	0.000303537759464	0.592732310295
rip	0.177651977014	15	100	0.01	1.09720754623	0.419663578272
rrxor	0.918168554751	7	100	0.01	1.19767680218e-08	0.900943100452
rrxor	0.671430381606	3	100	0.0001	3.61764342927e-08	0.934997498989
English	0.169781974007	2	100	0.001	2.12404322624	1.94952428341
English	0.00869441204986	2	1000	0.0001	4.54313421249	1.96391355991
rrxor	0.365085628204	4	100	1.0	3.28234484037e-09	0.9293435812
rip	0.543117859678	8	100	1e-06	0.609607815742	0.457286953926
rip	0.354879001007	7	100	1e-05	1.03675329685	0.436896473169
even	0.457930108779	15	100	1e-06	0.661499142647	0.465764343739
even	0.619874093223	6	100	1e-05	0.49698522687	0.494203686714
EnglishRANDOM_BY_TYPE	0.346679112344	2	100	0.01	0.374134778976	2.23654055595
even	0.427349512526	2	100	1e-05	0.000236414038227	0.621014237404
BackwardsEnglish	0.186429371252	2	100	1e-05	1.90602338314	1.95945072174
forget2_0_5b	0.868409156414	1	100	0.01	3.66348196223e-08	0.693375051022
rrxor	0.549600524279	7	100	0.001	0.00227195816115	0.897043585777
English	0.00899363068619	3	100	1e-05	4.27729225159	2.06284117699
rip	0.665482232863	8	100	0.001	0.550066530704	0.462108552456
rrxor	0.399956929608	4	100	1e-06	0.000626012275461	0.92456227541
forget2_0_5b	0.683791787433	2	100	0.0001	7.66158905208e-08	0.626773953438
rrxor	0.529861192513	2	100	1e-06	3.16858219662e-08	0.952095329762
even	0.0135544450513	3	100	0.001	1.01122462749	0.513031303883
rip	0.925735106973	8	100	0.0001	-2.84524759309e-08	0.516287267208
EnglishRANDOM_BY_TYPE	0.377515388809	2	100	0.001	0.250727683306	2.24493265152
forget2_0_5b	0.903964767089	7	100	0.0001	9.40959239415e-08	0.581376552582
English	0.300932563492	3	100	0.0001	1.52038812637	1.96877110004
English	0.00618909677199	1	100	0.01	2.56135082245	1.99404203892
even	0.212473248014	4	100	0.0001	0.563685894012	0.511619091034
rrxor	0.969943822286	7	100	1e-05	1.39239986652e-07	0.89709508419
English	0.00734329237757	2	1000	0.01	4.54159402847	1.96236312389
rrxor	0.166938685822	3	100	0.01	0.00104865571484	0.94321089983
rip	0.210117972561	2	100	1.0	0.341052144766	0.566646754742
rip	0.245988055264	2	100	0.01	0.000338886951795	0.609866261482
forget2_0_5b	0.277372440423	5	100	0.001	0.000537671730854	0.589516341686
English	0.149994921601	1	1000	0.0001	1.94050848484	2.05825853348
English	0.0834282138926	2	1000	1e-05	3.15488958359	1.92904365063
forget2_0_5b	0.2013127719	2	100	0.001	0.339917719364	0.589438021183
forget2_0_5b	0.727817922629	5	100	0.001	0.00036651341361	0.588037848473
rip	0.297289856965	4	100	0.001	0.870050728321	0.483429431915
even	0.684605633887	6	100	1.0	0.409479618073	0.503406584263
rrxor	0.572034394027	7	100	0.01	0.00226701353677	0.89872187376
rrxor	0.730491913554	3	100	0.001	4.13356957552e-08	0.93503254652
English	0.318331801423	1	100	1e-06	0.476826697588	2.3856818676
rip	0.633974272735	5	100	0.001	0.0932194888592	0.542873203754
rrxor	0.180373791624	7	100	1e-05	1.99691486359	0.811059057713
forget2_0_5b	0.45326063769	3	100	0.01	0.000342078012181	0.605584561825
rrxor	0.596082991335	4	100	0.0001	0.00137091311626	0.925407230854
English	0.047814737933	2	100	0.001	3.27377843857	1.91617798805
forget2_0_5b	0.724425735988	8	100	1e-06	0.000826151284855	0.577695071697
English	0.164784273547	2	100	1e-06	2.15695047379	1.94786524773
rip	0.0337208876602	4	100	0.0001	1.35795748234	0.460896939039
EnglishRANDOM_BY_TYPE	0.120939023688	2	100	0.01	2.36434626579	2.07553958893
rrxor	0.432842401601	5	100	0.001	0.0016717283288	0.916175365448
English	0.00319411394336	1	1000	0.001	2.56231641769	1.9940328598
English	0.00403911443861	1	1000	0.001	2.56219220161	1.99405443668
rrxor	0.983272457044	2	100	0.001	7.2623407732e-08	0.949253022671
EnglishRANDOM_BY_TYPE	0.0327190175708	2	100	1e-05	3.87414646149	2.08533501625
forget2_0_5b	0.386352437823	6	100	0.0001	0.00063795823371	0.585656404495
rrxor	0.491377985877	5	100	1e-06	0.00164071132895	0.917188823223
English	0.0872101440304	3	100	1e-05	3.84533548355	2.02892374992
