Language	Beta	Horizon	CodeNumber	Dirichlet	Memory	Surprisal
English	0.270284372856	2	100	0.01	1.34381186962	2.0294752121
English	0.000657161731259	1	1000	0.001	2.56249523163	1.99398267269
rrxor	0.0865184931211	7	100	1.0	3.03310775757	0.822166144848
rip	0.328344972309	4	100	0.001	0.791361033916	0.490454494953
even	0.959146740498	2	100	0.01	4.64461429317e-08	0.619961261749
even	0.436846109459	7	100	1e-06	0.605204582214	0.48198133707
rrxor	0.88832817179	6	100	1e-06	2.23351889872e-07	0.909309387207
English	0.167515791096	1	100	0.01	1.69712328911	2.09528040886
English	0.0279593982049	2	100	1e-06	3.68250918388	1.91921877861
English	0.387768973857	2	100	1e-06	0.546840548515	2.15670275688
English	0.169649591379	1	100	0.01	1.67411315441	2.09909939766
even	0.444224387881	6	100	1e-06	0.585121393204	0.485781759024
forget2_0_5b	0.595028115131	3	100	1.0	3.29076463856e-08	0.607188344002
rip	0.570309374984	5	100	0.001	0.264252871275	0.52390152216
English	5.5721896388e-05	1	1000	0.001	2.56220388412	1.99402832985
English	0.00919580137079	1	100	0.01	2.5605597496	1.99408996105
English	0.0763353626825	2	100	0.0001	2.99087119102	1.91522419453
English	0.00194988724416	1	100	0.0001	2.56154942513	1.99398624897
rip	0.553928778462	4	100	1e-05	0.00044111040188	0.572144687176
forget2_0_5b	0.201674762865	5	100	1e-05	0.314132362604	0.573705792427
English	0.167106646617	1	100	1e-05	1.70009195805	2.09477782249
English	0.0631885594685	2	100	1e-06	3.16203093529	1.91685962677
even	0.00455401640843	5	100	0.0001	0.961520314217	0.480618387461
English	0.357059252302	3	100	0.0001	1.0380692482	2.01249027252
rip	0.767360632187	15	100	0.001	0.667567551136	0.430799484253
English	0.235711846714	1	100	0.001	1.09785950184	2.21436595917
English	0.00140586958189	2	100	1e-06	3.91318678856	1.92301976681
English	0.353878487168	3	100	0.001	1.08056628704	2.00713324547
rip	0.15314334029	5	100	0.01	1.28773081303	0.445812553167
English	0.00318415923295	1	100	0.0001	2.56133580208	1.99401533604
rrxor	0.228274155252	4	100	1.0	0.00131319020875	0.924673438072
EnglishRANDOM_BY_TYPE	0.00190865769507	2	100	0.01	3.97817444801	2.0531001091
BackwardsEnglish	0.336687989923	2	100	0.01	0.927043914795	2.08632206917
English	0.00276160139371	3	100	0.01	4.3527173996	2.06195044518
English	0.270379097938	3	100	0.0001	1.80728387833	1.96196877956
BackwardsEnglish	0.36023024298	3	100	1e-06	1.19248604774	1.99621665478
rip	0.531198038528	6	100	0.0001	0.479275584221	0.487241983414
even	0.55320043427	15	100	0.0001	0.636225104332	0.464741587639
rrxor	0.498884753314	6	100	0.0001	0.00197384436615	0.912914037704
English	0.296299785458	2	100	0.0001	1.11120021343	2.06171441078
English	0.02701312429	3	20	0.0001	2.7958984375	1.95381116867
English	0.10903863598	3	100	1e-05	3.54952812195	2.00935792923
even	0.86102237625	15	100	1e-06	0.626396596432	0.464604824781
