Language	Beta	EE	Memories	UpperBound	FutureSurp	avg16	avg17	avg18	avg19	 dropout1	emb_dim	rnn_dim	rnn_layers	lr	model	dropout2	batchSize	horizon	beta	flow_layers	flow_type	Iterations	flow_hid_dim	in_flow_layers
even	0.597918154263	-0.000317676699984	0.0100711215855	2.82388358823	0.503612390604	0.634490316192	0.619387299844	0.595626839383	0.580039114742	0.1	50	32	1	0.0005	REAL	0.2	32	30	0.597918154263	2	ddsf	20	64	2
rip	0.712866799628	0.559530096758	0.608793905084	4.12886125483	0.435668053985	0.446781870426	0.469512734732	0.471040910771	0.466556193139	0.0	100	32	1	0.004	REAL	0.0	64	30	0.712866799628	1	dsf	10	64	2
even	0.529917587723	0.616106993129	0.671619837057	9.87459374287	0.462441041676	0.467242207663	0.466197570789	0.465458973404	0.464850990984	0.0	50	32	1	0.001	REAL	0.0	16	30	0.529917587723	2	dsf	10	512	2
rip	0.561783722985	0.647633778649	0.70517766655	4.5599777562	0.429636312629	0.421396096712	0.447039149887	0.451947316731	0.449900298466	0.1	50	32	1	0.004	REAL	0.0	32	30	0.561783722985	2	dsf	10	512	2
even	0.0231144886207	0.584808076859	1.75243510621	6.67097112003	0.468035496743	0.467916356273	0.472347049588	0.470358649545	0.471207890101	0.0	50	32	1	0.0001	REAL	0.2	16	30	0.0231144886207	1	dsf	10	512	2
rip	0.33833167015	0.792321850184	1.0242277396	6.2469180829	0.419370658597	0.420824318292	0.426942748405	0.42702129985	0.426233915715	0.0	100	32	1	0.0001	REAL	0.0	64	30	0.33833167015	2	dsf	10	128	2
English	0.36	0.079838951615	0.262699497223	6.46102788998	1.89337355893	2.53244397629	2.26314668307	2.14184576875	2.07185542781	0.1	200	512	1	0.001	REAL	0.1	64	30	0.36	3	dsf	7	512	2
even	0.601369109915	0.566304656562	0.631506961187	6.17193378111	0.466550041733	0.482070872706	0.479008894997	0.476586623506	0.474617946642	0.0	100	32	1	0.001	REAL	0.0	64	30	0.601369109915	1	ddsf	10	32	2
repeat2	0.00427847504976	2.0980938803	14.1732285541	10.399738032	0.553442943447	0.137086720789	0.224071448479	0.309484192767	0.367778461331	0.0	50	32	1	0.001	REAL	0.2	128	30	0.00427847504976	1	dsf	5	64	2
English	0.01	1.02485971321	10.8727269376	17.5077696361	1.82879189049	1.85917769378	1.85243217355	1.84629848489	1.84217444654	0.0	200	128	1	0.001	REAL	0.0	64	30	0.01	2	dsf	10	512	2
even	0.904219818962	0.0158332273479	0.0295687464761	2.82534342913	0.502444319422	0.631701748254	0.616113332218	0.593112448368	0.577867297621	0.0	100	32	1	0.0005	REAL	0.0	16	30	0.904219818962	1	dsf	10	32	2
PTB	0.0634919932283	1.59116384476	12.3333405381	16.3076950554	4.63398500723	4.94294937919	4.89108025785	4.80840785789	4.77617865441	0.0	100	256	1	0.0001	REAL	0.1	32	30	0.0634919932283	1	dsf	123	512	2
rrxor	0.55039212304	0.750213197269	1.08386317579	9.48151279522	0.788597442611	0.845481582427	0.839178367972	0.836095479489	0.830078420514	0.0	50	32	1	0.001	REAL	0.0	64	30	0.55039212304	2	dsf	20	128	2
rip	0.617841816183	0.522839448773	0.6025331065	4.13352197167	0.438575921275	0.467475497468	0.482231522106	0.481455130838	0.475018910452	0.1	50	32	1	0.004	REAL	0.0	16	30	0.617841816183	1	dsf	10	64	2
even	0.473833964584	0.000705211738151	0.0161729654948	2.83385500078	0.504951003779	0.636029082807	0.621308055765	0.597360620748	0.581858330229	0.2	100	32	1	0.001	REAL	0.2	16	30	0.473833964584	1	ddsf	10	128	2
repeat	0.00268427	15.0930931374	16.1862413283	16.4890135721	0.0930613623191	0.0710289017488	0.0813298741896	0.0848887069625	0.0859011935851	0.1	50	128	1	0.001	REAL	0.0	32	30	0.00268427	1	ddsf	70	512	2
PTB	0.00687882283313	2.31235314682	43.709859808	30.0892213846	4.56364033334	4.65141439089	4.69387783899	4.64685450006	4.64186914846	0.0	300	256	1	0.001	REAL	0.1	32	30	0.00687882283313	1	ddsf	99	512	2
English	0.280288992868	0.400022969179	1.10825110579	6.46391068923	1.87663995088	2.22377144775	2.08953178908	2.02281184116	1.98256164568	0.2	100	64	1	0.004	REAL	0.0	32	30	0.280288992868	1	dsf	26	512	2
forget2_0_5	0.175514324419	0.074383518841	0.444309409579	1.38652425284	0.572641927905	0.644761603798	0.655143999593	0.623473527261	0.607600577039	0.2	100	32	1	0.0005	REAL	0.1	16	30	0.175514324419	2	dsf	26	512	2
forget2_0_5b	0.01878608828	0.126250600936	0.799584740599	0.693063264887	0.56062655449	0.56249910008	0.561518231018	0.561176684926	0.561009522457	0.0	100	32	1	0.001	REAL	0.2	32	30	0.01878608828	2	ddsf	10	128	2
rip	0.427210374593	0.401736614291	0.516106401912	3.69650707958	0.447265920929	0.485228384927	0.506589812156	0.502526425245	0.495739757144	0.0	50	32	1	0.004	REAL	0.2	32	30	0.427210374593	1	ddsf	10	64	2
PTB	0.0283301654219	2.20342760762	16.9111043023	30.5060907424	4.67389100735	4.85343972135	4.85478632871	4.79307448683	4.77900028752	0.1	100	256	1	0.0001	REAL	0.2	32	30	0.0283301654219	2	ddsf	78	512	2
rrxor	0.786325070405	-0.0922224450209	0.0152806286172	5.43941854224	0.855104290114	0.950191453643	0.950211090285	0.93622681863	0.925286096805	0.2	100	32	1	0.004	REAL	0.0	16	30	0.786325070405	2	ddsf	10	128	2
repeat	0.00268427	2.58974044413	19.9579747559	16.4808485888	0.926073876313	0.480128672046	0.656048945466	0.711028663267	0.742831109222	0.0	50	128	1	0.001	REAL	0.2	32	30	0.00268427	1	ddsf	64	128	2
PTB	0.00399972351771	2.54948739978	51.1017016431	34.7980099633	4.5698380241	4.58797233833	4.66109548861	4.62852865694	4.62886654049	0.2	100	256	1	0.0001	REAL	0.0	32	30	0.00399972351771	2	ddsf	112	512	2
rrxor	0.167728664595	1.09604284785	2.07565657008	17.4280120239	0.774460197386	0.797155375975	0.794749477686	0.793328968467	0.790153851873	0.1	100	32	1	0.001	REAL	0.0	64	30	0.167728664595	4	dsf	10	512	2
even	0.68122041899	0.558252748983	0.612502004593	5.69872749262	0.46648784846	0.482687744217	0.480559526572	0.477735744466	0.475663150717	0.0	50	32	1	0.001	REAL	0.0	32	30	0.68122041899	1	ddsf	10	64	2
repeat	0.0045486470554	8.65957575781	11.4483840196	16.4824326531	0.521523793018	0.516909038956	0.516855665944	0.516356191636	0.518225445864	0.0	50	64	1	0.0001	REAL	0.0	128	30	0.0045486470554	1	dsf	50	64	2
English	0.146509515994	0.660566152126	2.18122078021	8.33594733232	1.86640859107	2.05469642679	1.9857395072	1.94928034943	1.92660721645	0.1	100	64	1	0.001	REAL	0.2	32	30	0.146509515994	10	ddsf	27	512	2
