"","MemoryApprox","MiWithFut"
"1",0.01,0.1083113289689
"2",0.5,0.252359347907
"3",1,0.459736491943
"4",1.5,0.579746150278
"5",2,0.681764578852
"6",2.5,0.767039884038
"7",3,0.818800236002
"8",3.5,0.865095072699
"9",4,0.897972553745
"10",4.5,0.919532624265
"11",5,0.917263296969
"12",5.5,0.963463644663
"13",6,0.949195324721
"14",6.5,0.971100921663
"15",7,0.984037535191
"16",7.5,1.01324252124
"17",8,1.01638795206
"18",8.5,0.972369051933
"19",9,1.03111755987
"20",9.5,1.0307087292
"21",10,1.04728775533
"22",10.5,1.00586219636
"23",11,1.02485971321
"24",11.5,1.08006405706
"25",12,1.06099763417
"26",13,1.0579350517
"27",13.5,1.04548758204
"28",14,1.04508804197
"29",14.5,1.07958340809
"30",15,1.09891720628
"31",15.5,1.07004918514
"32",16,1.01375240267
"33",16.5,1.03086921695
"34",17.5,1.06637994011
"35",18,1.08453365069
"36",19,1.10221615219
"37",20.5,1.08598877964
